House,1490000,01/04/2017,3
House,1220000,01/04/2017,3
House,1420000,01/04/2017,3
House,1515000,01/04/2017,7.5
House,670000,01/04/2017,10.4
Townhouse,530000,01/04/2017,10.4
Unit,540000,01/04/2017,10.4
House,1925000,01/04/2017,3
Unit,515000,01/04/2017,10.5
House,717000,01/04/2017,10.5
House,1675000,01/04/2017,5.7
House,2008000,01/04/2017,5.7
House,720000,01/04/2017,9.4
Unit,836000,01/04/2017,6.3
House,2110000,01/04/2017,6.3
House,1386000,01/04/2017,6.3
Unit,355000,01/04/2017,6.3
House,1123100,01/04/2017,4.3
Unit,1270000,01/04/2017,10.2
Townhouse,1610000,01/04/2017,10.2
House,1435000,01/04/2017,10.2
House,1431000,01/04/2017,21.5
House,996000,01/04/2017,21.5
Unit,955000,01/04/2017,7.9
House,1810000,01/04/2017,7.9
House,880000,01/04/2017,23.2
Unit,835000,01/04/2017,17.3
House,1445000,01/04/2017,17.3
House,1435000,01/04/2017,17.3
House,1340000,01/04/2017,11.4
House,1400000,01/04/2017,13.8
Townhouse,775000,01/04/2017,13.8
House,1220000,01/04/2017,13.8
House,1130000,01/04/2017,13.8
House,1460000,01/04/2017,13.8
House,3000000,01/04/2017,17.3
House,1410000,01/04/2017,13.4
House,1110000,01/04/2017,13.4
House,1090000,01/04/2017,13.4
Unit,710000,01/04/2017,13.4
House,985000,01/04/2017,27
House,500500,01/04/2017,8.6
House,490000,01/04/2017,8.6
House,1958000,01/04/2017,10.3
House,2137000,01/04/2017,10.3
House,2975000,01/04/2017,10.3
House,457000,01/04/2017,14
House,1120000,01/04/2017,5.2
Townhouse,560000,01/04/2017,5.2
House,1685000,01/04/2017,5.2
Unit,625000,01/04/2017,5.2
House,1470000,01/04/2017,4
House,860000,01/04/2017,4
Townhouse,900000,01/04/2017,5.2
Unit,398000,01/04/2017,5.2
House,576000,01/04/2017,5.2
Townhouse,525000,01/04/2017,12.1
House,740000,01/04/2017,12.1
House,1265000,01/04/2017,10.4
Townhouse,1460000,01/04/2017,14.7
House,935000,01/04/2017,14.7
Unit,780000,01/04/2017,14.7
Townhouse,1375000,01/04/2017,7.7
House,1235000,01/04/2017,7.7
House,1520000,01/04/2017,7.7
Unit,835000,01/04/2017,7.7
House,2100500,01/04/2017,7.7
House,1470000,01/04/2017,3.5
House,2410000,01/04/2017,3.5
House,1775000,01/04/2017,10.1
Unit,295000,01/04/2017,10.1
House,629000,01/04/2017,14.8
Townhouse,406000,01/04/2017,14.8
House,825000,01/04/2017,31.2
House,581500,01/04/2017,34.9
House,1400000,01/04/2017,8.4
House,1538000,01/04/2017,8.7
House,1354000,01/04/2017,11.7
Unit,886000,01/04/2017,27
House,4000000,01/04/2017,16.7
Townhouse,1010000,01/04/2017,16.7
Townhouse,697500,01/04/2017,16.7
House,800000,01/04/2017,17.5
House,1805000,01/04/2017,3.6
House,1400000,01/04/2017,3.6
House,1032500,01/04/2017,6.7
House,1005000,01/04/2017,6.7
Unit,412000,01/04/2017,6.7
